feature,importance
object_key,3075
month,1877
sensor_type,1426
obj_events_prev,1259
obj_n_channels,1068
day_of_week,846
text_prev,537
events_prev,409
value_min,404
obj_alarms_prev_24,369
n_alarms,360
alarms_prev_24obs,302
vmax_prev,280
vmin_prev,254
value_range_prev,249
hour_of_day,233
vmean_prev,216
value_mean,215
incident_family,211
obj_alarm_rate,207
vstd_prev,205
value_max,184
obj_alarms_prev,183
n_text,140
alarms_prev,132
sys_type,120
n_events,110
is_weekend,94
alarm_rate_prev,85
has_alarm,62
value_delta,51
value_std,49
n_numeric,34
