"тип_датчика","ид_набор_состояний","название_состояния","тревожное"
КД Дверь,1,Норма,false
КД Дверь,1,Выключен,false
КД Дверь,1,Отключено устройство,true
КД Дверь,2,Норма,false
КД Дверь,2,Замкнут,true
КД Люк,3,Не замкнут,true
КД Люк,3,Норма,false
КД Люк,4,Включен,false
КД Люк,4,Выключен,false
КД АВ,5,Дыма нет,false
КД АВ,5,Обнаружен дым,true
КД АВ,6,Движения нет,false
КД АВ,6,Обнаружено движение,true
КД АВ,6,Движение вверх,true
КД АВ,6,Движение вниз,true
КД АВ,6,Движение влево,true
КД АВ,6,Движение вправо,true
Датчик температуры,7,Норма,false
Датчик температуры,7,Обнаружен газ,true
Датчик движения,8,Выключен,false
Датчик движения,8,Включен,false
Датчик движения,8,Затоплен,true
Датчик движения,8,Обесточен,true
Датчик движения,9,Выключен,false
Датчик движения,9,Включен,false
Датчик движения,9,Обесточен,true
Датчик дыма,11,Рычаг норма,false
Газовый датчик,12,Норма,false
Газовый датчик,12,Разговор,false
Газовый датчик,12,Вызов,false
КД Дверь,1,Неопределен,false
КД Дверь,1,Неисправен,true
Состояние вентилятора,16,Питание от сети,false
Состояние насоса,14,На охране,false
Состояние насоса,14,Снято с охраны,false
Состояние вентилятора,16,Питание от батарей,true
Датчик дыма,11,Рычаг сдернут,true
Датчик дыма,11,Рычаг сдернут влево,true
Датчик дыма,11,Рычаг сдернут вправо,true
Датчик дыма,11,Оба рычага сдернуты,true
Состояние вентилятора,16,Батарея неисправна,false
Датчик дыма,10,Есть питание,false
Датчик дыма,10,Обесточен,false
Состояние вентилятора,17,Устройства на объекте исправны,false
Состояние вентилятора,17,Много неисправных устройств,true
Состояние вентилятора,16,Батарея разряжена,true
Состояние фазы,18,Работают все насосы АНС,true
Состояние вентилятора,17,Включены все насосы АНС,true
Датчик движения,8,Работают все насосы в АНС,true
Газовый датчик,13,Температура выше 35ºC1,true
Газовый датчик,13,Температура выше 35ºC1,true
Газовый датчик,13,В норме от +3 до +351,false
Газовый датчик,13,Температура ниже 3ºC1,false
Газовый датчик,13,Температура ниже 3ºC1,true
Газовый датчик,13,Температура ниже 3ºC,true
Газовый датчик,13,Не определено,true
Газовый датчик,13,Температура ниже 3ºC1,true
Газовый датчик,13,В норме от +3 до +40,false
Газовый датчик,13,Температура выше 40ºC,true
Газовый датчик,13,Температура ниже 3ºC,true
Газовый датчик,13,В норме от +3 до +27ºC,false
Газовый датчик,13,Температура выше 27ºC,true
